GeneName	EntrezID	Symbol	Chr	Length
ENSG00000225285.1	RP4-758J18.10	RP4-758J18.10	chr1	4034.0
ENSG00000179403.10	VWA1	VWA1	chr1	8021.0
ENSG00000215915.5	ATAD3C	ATAD3C	chr1	20469.0
ENSG00000160072.14	ATAD3B	ATAD3B	chr1	26085.0
ENSG00000197785.9	ATAD3A	ATAD3A	chr1	22536.0
ENSG00000205090.4	TMEM240	TMEM240	chr1	5279.0
ENSG00000160075.10	SSU72	SSU72	chr1	33196.0
ENSG00000215791.2	AL645728.2	AL645728.2	chr1	2178.0
ENSG00000215014.3	AL645728.1	AL645728.1	chr1	1018.0
ENSG00000236684.1	AL645728.3	AL645728.3	chr1	243.0
ENSG00000228594.1	C1orf233	C1orf233	chr1	2084.0
ENSG00000197530.8	MIB2	MIB2	chr1	15195.0
ENSG00000189409.8	MMP23B	MMP23B	chr1	3165.0
ENSG00000248333.3	CDK11B	CDK11B	chr1	19870.0
ENSG00000189339.7	SLC35E2B	SLC35E2B	chr1	31228.0
ENSG00000269737.1	RP11-345P4.7	RP11-345P4.7	chr1	1421.0
ENSG00000269227.1	RP11-345P4.6	RP11-345P4.6	chr1	1122.0
ENSG00000215914.3	MMP23A	MMP23A	chr1	1880.0
ENSG00000008128.18	CDK11A	CDK11A	chr1	21597.0
ENSG00000268575.1	RP1-283E3.8	RP1-283E3.8	chr1	34952.0
ENSG00000227775.3	RP1-283E3.4	RP1-283E3.4	chr1	12739.0
ENSG00000215790.2	SLC35E2	SLC35E2	chr1	21154.0
ENSG00000008130.11	NADK	NADK	chr1	29225.0
ENSG00000078369.12	GNB1	GNB1	chr1	105766.0
ENSG00000231050.1	RP1-140A9.1	RP1-140A9.1	chr1	1187.0
ENSG00000169885.5	CALML6	CALML6	chr1	2469.0
ENSG00000178821.8	TMEM52	TMEM52	chr1	1683.0
ENSG00000142609.13	C1orf222	C1orf222	chr1	81880.0
ENSG00000233542.1	RP11-547D24.1	RP11-547D24.1	chr1	2317.0
ENSG00000187730.6	GABRD	GABRD	chr1	11412.0
ENSG00000226969.1	RP11-547D24.3	RP11-547D24.3	chr1	867.0
ENSG00000067606.11	PRKCZ	PRKCZ	chr1	134925.0
ENSG00000182873.4	RP11-181G12.2	RP11-181G12.2	chr1	2595.0
ENSG00000162585.11	C1orf86	C1orf86	chr1	28256.0
ENSG00000269554.1	AL590822.2	AL590822.2	chr1	1942.0
ENSG00000203301.2	AL590822.1	AL590822.1	chr1	2260.0
ENSG00000243558.1	RP11-181G12.5	RP11-181G12.5	chr1	403.0
ENSG00000234396.3	RP11-181G12.4	RP11-181G12.4	chr1	8215.0
ENSG00000157933.9	SKI	SKI	chr1	81424.0
ENSG00000116151.8	MORN1	MORN1	chr1	70454.0
ENSG00000269753.1	AL589739.1	AL589739.1	chr1	461.0
ENSG00000269896.1	RP4-740C4.6	RP4-740C4.6	chr1	2406.0
ENSG00000238240.2	RP4-740C4.5	RP4-740C4.5	chr1	213.0
ENSG00000178642.5	AL513477.1	AL513477.1	chr1	3111.0
ENSG00000157916.13	RER1	RER1	chr1	11923.0
ENSG00000157911.5	PEX10	PEX10	chr1	9000.0
ENSG00000149527.12	PLCH2	PLCH2	chr1	79550.0
ENSG00000224387.1	RP3-395M20.2	RP3-395M20.2	chr1	958.0
ENSG00000229393.1	RP3-395M20.3	RP3-395M20.3	chr1	1042.0
ENSG00000157881.9	PANK4	PANK4	chr1	18067.0
ENSG00000197921.5	HES5	HES5	chr1	1500.0
ENSG00000238164.2	RP3-395M20.8	RP3-395M20.8	chr1	7111.0
ENSG00000157873.13	TNFRSF14	TNFRSF14	chr1	9743.0
ENSG00000225931.2	RP3-395M20.7	RP3-395M20.7	chr1	10962.0
ENSG00000228037.1	RP3-395M20.9	RP3-395M20.9	chr1	2973.0
ENSG00000157870.10	FAM213B	FAM213B	chr1	4978.0
ENSG00000142606.11	MMEL1	MMEL1	chr1	42403.0
ENSG00000237058.1	RP13-436F16.1	RP13-436F16.1	chr1	4052.0
ENSG00000215912.7	TTC34	TTC34	chr1	150871.0
ENSG00000233234.1	RP11-740P5.2	RP11-740P5.2	chr1	842.0
ENSG00000231630.1	RP11-740P5.3	RP11-740P5.3	chr1	566.0
ENSG00000169717.5	ACTRT2	ACTRT2	chr1	1419.0
ENSG00000177133.5	RP1-163G9.1	RP1-163G9.1	chr1	8822.0
ENSG00000256761.1	AL008733.1	AL008733.1	chr1	436.0
ENSG00000142611.11	PRDM16	PRDM16	chr1	369453.0
ENSG00000226286.1	RP1-163G9.2	RP1-163G9.2	chr1	782.0
ENSG00000130762.10	ARHGEF16	ARHGEF16	chr1	26687.0
ENSG00000162591.11	MEGF6	MEGF6	chr1	121575.0
ENSG00000207776.1	MIR551A	MIR551A	chr1	95.0
ENSG00000238260.1	RP11-46F15.2	RP11-46F15.2	chr1	1553.0
ENSG00000158109.10	TPRG1L	TPRG1L	chr1	5125.0
ENSG00000116213.11	WRAP73	WRAP73	chr1	21994.0
ENSG00000078900.10	TP73	TP73	chr1	83681.0
ENSG00000227589.1	RP5-1092A11.5	RP5-1092A11.5	chr1	9834.0
ENSG00000235131.1	RP5-1092A11.2	RP5-1092A11.2	chr1	2098.0
ENSG00000227372.5	TP73-AS1	TP73-AS1	chr1	11352.0
ENSG00000162592.4	CCDC27	CCDC27	chr1	19247.0
ENSG00000235169.3	SMIM1	SMIM1	chr1	3194.0
ENSG00000130764.5	LRRC47	LRRC47	chr1	16284.0
ENSG00000266075.1	RN7SL574P	RN7SL574P	chr1	294.0
ENSG00000116198.8	CEP104	CEP104	chr1	45133.0
ENSG00000169598.11	DFFB	DFFB	chr1	28148.0
ENSG00000264428.1	AL691523.1	AL691523.1	chr1	69.0
ENSG00000198912.6	C1orf174	C1orf174	chr1	11168.0
ENSG00000236423.1	RP13-15E13.1	RP13-15E13.1	chr1	16853.0
ENSG00000233304.1	RP13-614K11.1	RP13-614K11.1	chr1	14649.0
ENSG00000226374.1	RP13-614K11.2	RP13-614K11.2	chr1	1831.0
ENSG00000229280.1	RP11-374C13.1	RP11-374C13.1	chr1	371.0
ENSG00000235054.1	RP5-1166F10.1	RP5-1166F10.1	chr1	12636.0
ENSG00000227169.2	RP1-37J18.1	RP1-37J18.1	chr1	410.0
ENSG00000232596.1	RP1-37J18.2	RP1-37J18.2	chr1	11873.0
ENSG00000196581.5	AJAP1	AJAP1	chr1	129058.0
ENSG00000231510.1	RP11-542C10.1	RP11-542C10.1	chr1	4440.0
ENSG00000260972.1	RP1-58B11.1	RP1-58B11.1	chr1	1696.0
ENSG00000264341.1	MIR4417	MIR4417	chr1	72.0
ENSG00000236948.1	RP11-154H17.1	RP11-154H17.1	chr1	80927.0
ENSG00000216045.2	AL356693.1	AL356693.1	chr1	88.0
ENSG00000264101.1	MIR4689	MIR4689	chr1	69.0
ENSG00000131697.13	NPHP4	NPHP4	chr1	129662.0
ENSG00000266687.1	AL356261.1	AL356261.1	chr1	85.0
ENSG00000069424.10	KCNAB2	KCNAB2	chr1	109727.0
ENSG00000268332.1	AL035406.1	AL035406.1	chr1	769.0
ENSG00000116254.13	CHD5	CHD5	chr1	78330.0
ENSG00000116251.5	RPL22	RPL22	chr1	28120.0
ENSG00000226944.1	RP1-120G22.11	RP1-120G22.11	chr1	940.0
ENSG00000158286.8	RNF207	RNF207	chr1	15824.0
ENSG00000116237.11	ICMT	ICMT	chr1	14779.0
ENSG00000225077.2	LINC00337	LINC00337	chr1	3204.0
ENSG00000173673.7	HES3	HES3	chr1	1386.0
ENSG00000158292.6	GPR153	GPR153	chr1	13629.0
ENSG00000097021.14	ACOT7	ACOT7	chr1	130118.0
ENSG00000069812.7	HES2	HES2	chr1	12252.0
ENSG00000187017.10	ESPN	ESPN	chr1	36582.0
ENSG00000265392.1	MIR4252	MIR4252	chr1	62.0
ENSG00000231868.1	RP1-202O8.2	RP1-202O8.2	chr1	3972.0
ENSG00000215788.5	TNFRSF25	TNFRSF25	chr1	5044.0
ENSG00000171680.16	PLEKHG5	PLEKHG5	chr1	53969.0
ENSG00000162408.10	NOL9	NOL9	chr1	33188.0
ENSG00000253022.1	U6	U6	chr1	110.0
ENSG00000229519.2	RP11-58A11.2	RP11-58A11.2	chr1	714.0
ENSG00000173662.15	TAS1R1	TAS1R1	chr1	24576.0
ENSG00000204859.7	ZBTB48	ZBTB48	chr1	9279.0
ENSG00000162413.12	KLHL21	KLHL21	chr1	23883.0
ENSG00000116273.5	PHF13	PHF13	chr1	10348.0
ENSG00000041988.11	THAP3	THAP3	chr1	10720.0
ENSG00000007923.11	DNAJC11	DNAJC11	chr1	67756.0
ENSG00000228750.1	RP11-242F24.1	RP11-242F24.1	chr1	5375.0
ENSG00000239166.1	snoU13	snoU13	chr1	102.0
ENSG00000237436.1	RP11-312B8.1	RP11-312B8.1	chr1	951.0
ENSG00000171735.14	CAMTA1	CAMTA1	chr1	984382.0
ENSG00000227950.1	RP11-312B8.2	RP11-312B8.2	chr1	285.0
ENSG00000237365.1	RP11-334N17.1	RP11-334N17.1	chr1	5903.0
ENSG00000207056.1	U1	U1	chr1	164.0
ENSG00000237402.1	CAMTA1-IT1	CAMTA1-IT1	chr1	1328.0
ENSG00000237728.1	RP3-453P22.2	RP3-453P22.2	chr1	7266.0
ENSG00000225126.1	RP4-549F15.1	RP4-549F15.1	chr1	458.0
ENSG00000270171.1	RP11-338N10.1	RP11-338N10.1	chr1	1720.0
ENSG00000270035.1	RP11-338N10.2	RP11-338N10.2	chr1	569.0
ENSG00000269978.1	RP11-338N10.3	RP11-338N10.3	chr1	266.0
ENSG00000049245.8	VAMP3	VAMP3	chr1	10163.0
ENSG00000269925.1	RP3-467L1.6	RP3-467L1.6	chr1	392.0
ENSG00000049246.10	PER3	PER3	chr1	60857.0
ENSG00000236266.1	RP3-467L1.4	RP3-467L1.4	chr1	17100.0
ENSG00000049247.9	UTS2	UTS2	chr1	10429.0
ENSG00000049249.4	TNFRSF9	TNFRSF9	chr1	21019.0
ENSG00000270330.1	RP5-892F13.2	RP5-892F13.2	chr1	354.0
ENSG00000116288.8	PARK7	PARK7	chr1	31214.0
ENSG00000200344.1	Y_RNA	Y_RNA	chr1	102.0
ENSG00000116285.8	ERRFI1	ERRFI1	chr1	21904.0
ENSG00000238290.1	RP11-431K24.1	RP11-431K24.1	chr1	95964.0
ENSG00000232848.1	CTA-215D11.4	CTA-215D11.4	chr1	1218.0
ENSG00000229305.1	RP11-431K24.2	RP11-431K24.2	chr1	2946.0
ENSG00000200975.1	U1	U1	chr1	163.0
ENSG00000227634.1	RP11-431K24.3	RP11-431K24.3	chr1	6538.0
ENSG00000233645.1	RP11-431K24.4	RP11-431K24.4	chr1	2339.0
ENSG00000265414.1	RN7SL729P	RN7SL729P	chr1	254.0
ENSG00000251977.1	U6	U6	chr1	106.0
ENSG00000162426.10	SLC45A1	SLC45A1	chr1	26341.0
ENSG00000252254.1	Y_RNA	Y_RNA	chr1	112.0
ENSG00000142599.13	RERE	RERE	chr1	465245.0
ENSG00000232912.1	RP5-1115A15.1	RP5-1115A15.1	chr1	10193.0
ENSG00000221083.1	SNORA77	SNORA77	chr1	124.0
ENSG00000270282.1	RP5-1115A15.2	RP5-1115A15.2	chr1	368.0
ENSG00000234619.1	RP4-633I8.1	RP4-633I8.1	chr1	657.0
ENSG00000224315.2	RP4-633I8.2	RP4-633I8.2	chr1	702.0
ENSG00000222511.1	Y_RNA	Y_RNA	chr1	98.0
ENSG00000226545.1	RP4-633I8.3	RP4-633I8.3	chr1	1031.0
ENSG00000228423.1	RP4-633I8.4	RP4-633I8.4	chr1	1191.0
ENSG00000229716.2	RP11-185B14.1	RP11-185B14.1	chr1	368.0
ENSG00000074800.9	ENO1	ENO1	chr1	18247.0
ENSG00000236269.1	ENO1-IT1	ENO1-IT1	chr1	2219.0
ENSG00000230679.1	ENO1-AS1	ENO1-AS1	chr1	1059.0
ENSG00000201725.1	U6	U6	chr1	106.0
ENSG00000238249.1	HMGN2P17	HMGN2P17	chr1	742.0
ENSG00000232208.2	RP3-477M7.5	RP3-477M7.5	chr1	351.0
ENSG00000232663.2	RP3-477M7.6	RP3-477M7.6	chr1	162.0
ENSG00000131686.9	CA6	CA6	chr1	29229.0
ENSG00000265141.1	RN7SL451P	RN7SL451P	chr1	296.0
ENSG00000197241.3	SLC2A7	SLC2A7	chr1	23045.0
ENSG00000142583.13	SLC2A5	SLC2A5	chr1	53371.0
ENSG00000252404.1	SCARNA16	SCARNA16	chr1	183.0
ENSG00000180758.10	GPR157	GPR157	chr1	28865.0
ENSG00000207865.1	MIR34A	MIR34A	chr1	109.0
ENSG00000228526.1	RP3-510D11.1	RP3-510D11.1	chr1	34351.0
ENSG00000234546.1	RP3-510D11.2	RP3-510D11.2	chr1	1584.0
ENSG00000049239.8	H6PD	H6PD	chr1	36562.0
ENSG00000252841.1	Z98044.1	Z98044.1	chr1	142.0
ENSG00000171621.9	SPSB1	SPSB1	chr1	76652.0
ENSG00000252956.1	RNA5SP40	RNA5SP40	chr1	109.0
ENSG00000235263.1	RP13-392I16.1	RP13-392I16.1	chr1	2379.0
ENSG00000171612.5	SLC25A33	SLC25A33	chr1	43290.0
ENSG00000231181.1	RP13-15M17.1	RP13-15M17.1	chr1	558.0
ENSG00000188807.8	TMEM201	TMEM201	chr1	26003.0
ENSG00000171608.11	PIK3CD	PIK3CD	chr1	77382.0
ENSG00000179840.5	C1orf200	C1orf200	chr1	1976.0
ENSG00000233268.3	RP11-558F24.2	RP11-558F24.2	chr1	1798.0
ENSG00000231789.2	RP11-558F24.4	RP11-558F24.4	chr1	15129.0
ENSG00000171603.12	CLSTN1	CLSTN1	chr1	95500.0
ENSG00000271264.1	RP11-558F24.6	RP11-558F24.6	chr1	418.0
ENSG00000178585.10	CTNNBIP1	CTNNBIP1	chr1	62060.0
ENSG00000223989.1	RP11-84A14.5	RP11-84A14.5	chr1	1836.0
ENSG00000162441.7	LZIC	LZIC	chr1	21292.0
ENSG00000228150.1	RP11-84A14.4	RP11-84A14.4	chr1	7051.0
ENSG00000173614.9	NMNAT1	NMNAT1	chr1	42073.0
ENSG00000202415.1	RN7SKP269	RN7SKP269	chr1	318.0
ENSG00000265521.1	MIR5697	MIR5697	chr1	77.0
ENSG00000241326.1	RP11-807G9.2	RP11-807G9.2	chr1	1427.0
ENSG00000162444.11	RBP7	RBP7	chr1	18814.0
ENSG00000225786.2	AL590639.1	AL590639.1	chr1	507.0
ENSG00000130939.14	UBE4B	UBE4B	chr1	148407.0
ENSG00000224340.1	RP11-496H15.2	RP11-496H15.2	chr1	336.0
ENSG00000233623.2	PGAM1P11	PGAM1P11	chr1	977.0
ENSG00000201746.1	U6	U6	chr1	106.0
ENSG00000054523.12	KIF1B	KIF1B	chr1	170798.0
ENSG00000264881.1	MIR1273D	MIR1273D	chr1	85.0
ENSG00000199562.1	RNU6-37	RNU6-37	chr1	106.0
ENSG00000264501.1	RN7SL731P	RN7SL731P	chr1	290.0
ENSG00000265945.1	RN7SL721P	RN7SL721P	chr1	294.0
ENSG00000142657.16	PGD	PGD	chr1	21552.0
ENSG00000175279.17	APITD1	APITD1	chr1	22051.0
ENSG00000251503.3	APITD1-CORT	APITD1-CORT	chr1	22051.0
ENSG00000241563.2	CORT	CORT	chr1	2183.0
ENSG00000160049.7	DFFA	DFFA	chr1	16004.0
ENSG00000203469.2	RP5-1113E3.3	RP5-1113E3.3	chr1	783.0
ENSG00000142655.8	PEX14	PEX14	chr1	158470.0
ENSG00000243267.2	RN7SL614P	RN7SL614P	chr1	277.0
ENSG00000130940.10	CASZ1	CASZ1	chr1	160046.0
ENSG00000225158.2	RP11-340B24.3	RP11-340B24.3	chr1	237.0
ENSG00000175262.10	C1orf127	C1orf127	chr1	35566.0
ENSG00000215785.2	CFL1P6	CFL1P6	chr1	819.0
ENSG00000264181.1	AL713997.1	AL713997.1	chr1	87.0
ENSG00000207213.1	Y_RNA	Y_RNA	chr1	83.0
ENSG00000120948.11	TARDBP	TARDBP	chr1	13382.0
ENSG00000009724.12	MASP2	MASP2	chr1	20710.0
ENSG00000116649.5	SRM	SRM	chr1	5440.0
ENSG00000171824.9	EXOSC10	EXOSC10	chr1	33263.0
ENSG00000226849.1	RP4-635E18.7	RP4-635E18.7	chr1	4626.0
ENSG00000230337.1	RP4-635E18.6	RP4-635E18.6	chr1	2425.0
ENSG00000198793.8	MTOR	MTOR	chr1	155972.0
ENSG00000225602.1	MTOR-AS1	MTOR-AS1	chr1	5639.0
ENSG00000253086.1	U6	U6	chr1	102.0
ENSG00000171819.4	ANGPTL7	ANGPTL7	chr1	6640.0
ENSG00000207451.1	U6	U6	chr1	106.0
ENSG00000238173.1	RPL39P6	RPL39P6	chr1	149.0
ENSG00000120942.9	UBIAD1	UBIAD1	chr1	22843.0
ENSG00000238199.1	UBE2V2P3	UBE2V2P3	chr1	735.0
ENSG00000224338.2	RP11-149P14.1	RP11-149P14.1	chr1	564.0
ENSG00000204624.6	PTCHD2	PTCHD2	chr1	58418.0
ENSG00000235643.1	RP1-69M21.2	RP1-69M21.2	chr1	3824.0
ENSG00000116661.9	FBXO2	FBXO2	chr1	7418.0
ENSG00000132879.9	FBXO44	FBXO44	chr1	8952.0
ENSG00000116663.6	FBXO6	FBXO6	chr1	10230.0
ENSG00000116670.10	MAD2L2	MAD2L2	chr1	17170.0
ENSG00000162490.6	DRAXIN	DRAXIN	chr1	34128.0
ENSG00000177674.11	AGTRAP	AGTRAP	chr1	18718.0
ENSG00000215910.3	C1orf167	C1orf167	chr1	27798.0
ENSG00000177553.6	RP11-56N19.5	RP11-56N19.5	chr1	2542.0
ENSG00000177000.6	MTHFR	MTHFR	chr1	21197.0
ENSG00000011021.17	CLCN6	CLCN6	chr1	36994.0
ENSG00000242349.1	NPPA-AS1	NPPA-AS1	chr1	7062.0
ENSG00000175206.6	NPPA	NPPA	chr1	2636.0
ENSG00000120937.8	NPPB	NPPB	chr1	1467.0
ENSG00000224904.1	RP5-934G17.6	RP5-934G17.6	chr1	2636.0
ENSG00000199347.1	RNU5E-1	RNU5E-1	chr1	119.0
ENSG00000201801.1	RNU5E-4P	RNU5E-4P	chr1	119.0
ENSG00000116685.11	KIAA2013	KIAA2013	chr1	6837.0
ENSG00000083444.12	PLOD1	PLOD1	chr1	41333.0
ENSG00000116688.12	MFN2	MFN2	chr1	33333.0
ENSG00000270914.1	RP5-1077B9.5	RP5-1077B9.5	chr1	92.0
ENSG00000116691.6	MIIP	MIIP	chr1	12579.0
ENSG00000202461.1	Y_RNA	Y_RNA	chr1	112.0
ENSG00000243539.2	RN7SL649P	RN7SL649P	chr1	272.0
ENSG00000120949.10	TNFRSF8	TNFRSF8	chr1	80830.0
ENSG00000201135.1	U6	U6	chr1	103.0
ENSG00000227875.2	RP11-426M1.2	RP11-426M1.2	chr1	254.0
ENSG00000028137.12	TNFRSF1B	TNFRSF1B	chr1	42225.0
ENSG00000263676.1	MIR4632	MIR4632	chr1	60.0
ENSG00000225196.2	RP5-1118D24.2	RP5-1118D24.2	chr1	315.0
ENSG00000252969.1	SNORA70	SNORA70	chr1	123.0
ENSG00000048707.9	VPS13D	VPS13D	chr1	281975.0
ENSG00000239149.1	SNORA59A	SNORA59A	chr1	151.0
ENSG00000229484.1	RP5-888M10.2	RP5-888M10.2	chr1	696.0
ENSG00000162496.4	DHRS3	DHRS3	chr1	49798.0
ENSG00000221340.1	RNU6ATAC18P	RNU6ATAC18P	chr1	100.0
ENSG00000204518.2	AADACL4	AADACL4	chr1	22531.0
ENSG00000226166.2	RP11-474O21.2	RP11-474O21.2	chr1	111.0
ENSG00000188984.7	AADACL3	AADACL3	chr1	12608.0
ENSG00000238771.1	snoU13	snoU13	chr1	103.0
ENSG00000157330.5	C1orf158	C1orf158	chr1	17684.0
ENSG00000116726.4	PRAMEF12	PRAMEF12	chr1	3065.0
ENSG00000116721.9	PRAMEF1	PRAMEF1	chr1	5231.0
